OBJECTID,TRL_NAME,PARK_NAME,FEATURE_ID,TRL_ID,SEG_ID,STG_AR_ID,SUB_TYPE,FEATURE,FEAT_CMNT,ELEV_FT,CITY_JUR,ZIP_CODE,SUP_DIST,X_STREET,X,Y,PARKING,PHOTO,TXT_E,LAT,LON,DB_ID,DIR_LAT,DIR_LON
7144,La Brea Loop,,0600064,060003,0600030002,,1,TAPO,,491,Unincorporated Los Angeles County,90008,2nd District,"None, use XY for directions","118° 21' 43.297"" W","34° 0' 8.996"" N",N,,Mapped,34.00250384,-118.3620392,410,34.002499,-118.362027
7145,Stocker Corridor,,0600001,060006,0600060001,,1,TAPO,,208,Unincorporated Los Angeles County,90008,2nd District,"None, use XY for directions","118° 20' 30.412"" W","34° 0' 16.232"" N",ST,,Mapped,34.00451385,-118.3417932,413,34.004509,-118.341781
7147,Eastern Ridge Trail,,0600037,060004,0600040001,,1,TAPO,,433,Unincorporated Los Angeles County,90008,2nd District,"None, use XY for directions","118° 21' 29.509"" W","33° 59' 50.075"" N",ST,,Mapped,33.99724784,-118.3582092,411,33.997243,-118.358197
7148,Rons Trail,,0600065,060009,0600010001,,1,TAPO,,491,Unincorporated Los Angeles County,90008,2nd District,"None, use XY for directions","118° 21' 43.297"" W","34° 0' 8.996"" N",N,,Mapped,34.00250384,-118.3620392,416,34.002499,-118.362027
7149,Bowl Loop,,0600066,060005,,060009,1,TAPO,,486,Unincorporated Los Angeles County,90008,2nd District,"None, use staging area XY for directions","118° 21' 42.797"" W","34° 0' 25.506"" N",SA,,Mapped,34.00708984,-118.3619002,412,34.0060917,-118.36232456
7150,Steps Trail,,0600067,060008,,060002,1,TH,,395,Culver City,90232,2nd District,"None, use staging area XY for directions","118° 22' 55.155"" W","34° 0' 57.524"" N",SA,,Mapped,34.01598375,-118.38199984,415,34.01580519,-118.38190463
7151,Rueben Ingold Park,,0600066,060011,0600010005,060011,1,TAPO,,439,Unincorporated Los Angeles County,90043,2nd District,"None, use XY for directions","118° 21' 26.838"" W","33° 59' 48.041"" N",ST,,Mapped,33.99668284,-118.3574672,418,33.996799,-118.357047
7152,Hillside Trail - Baldwin Hills,,0600068,060007,0600070000,,1,TAPO,,81,Culver City,90232,2nd District,"None, use XY for directions","118° 22' 56.798"" W","34° 1' 13.379"" N",ST,,Mapped,34.02038784,-118.38245621,414,34.020383,-118.382444
7159,Stephens Ranch Spur Trail,Marshall Canyon Park,0000190,000027,0000270001,000001,1,TAPO,,1881,Unincorporated Los Angeles County,91750,5th District,Stephens Ranch Rd and E Stephens Ranch Rd,"117° 44' 43.449"" W","34° 9' 6.620"" N",SA,20120706_152523.jpg,Mapped,34.15184367,-117.74541449,50,34.1518096,-117.74588913
7176,Stephens Ranch Spur Trail,,0000472,000027,0000270001,,1,TH,marshall Canyon to claremont loop,1855,Unincorporated Los Angeles County,91750,5th District,Stephens Ranch Rd and E Stephens Ranch Rd,"117° 44' 22.859"" W","34° 9' 7.361"" N",SA,,Mapped,34.15204957,-117.73969529,50,34.15204468,-117.73968318
7177,Stephens Ranch Spur Trail,,0000473,000027,0000270001,000001,1,TAPO,,1880,Unincorporated Los Angeles County,91750,5th District,Stephens Ranch Rd and E Stephens Ranch Rd,"117° 44' 43.096"" W","34° 9' 6.816"" N",SA,,Mapped,34.15189826,-117.74531654,50,34.1518096,-117.74588913
7178,Palmdale Hills Trail,,0000483,000028,0000280001,000003,1,TH,,2957,Unincorporated Los Angeles County,93550,5th District,E Barrel Springs Rd and Courson Ranch Rd,"118° 6' 55.153"" W","34° 32' 20.629"" N",SA,,Mapped,34.53906865,-118.11533236,45,34.53913806,-118.11522202
7183,Darrell Readmond Trail,Acton County Park,0000748,000010,0000100001,000019,1,TAPO,vehicles blocked by bolders,2719,Unincorporated Los Angeles County,93510,5th District,Syracuse Ave and 2nd St,"118° 11' 58.026"" W","34° 28' 18.812"" N",SA,IMG_0006338.jpg,Mapped,34.47189726,-118.19946401,21,34.47203244,-118.19890989
7184,Darrell Readmond Trail,Acton County Park,0000749,000010,0000100001,000019,1,TAPO,entrace to parking lot,2717,Unincorporated Los Angeles County,93510,5th District,Syracuse Ave and 2nd St,"118° 11' 56.682"" W","34° 28' 18.629"" N",SA,IMG_0006341.jpg,Mapped,34.47184638,-118.19909053,21,34.47203244,-118.19890989
7185,Darrell Readmond Trail,Acton County Park,0000750,000010,0000100001,000019,1,TAPO,entrace to parking lot and trail,2716,Unincorporated Los Angeles County,93510,5th District,Syracuse Ave and 2nd St,"118° 11' 55.175"" W","34° 28' 18.673"" N",SA,IMG_0006346.jpg,Mapped,34.4718584,-118.19867206,21,34.47203244,-118.19890989
7192,Darrell Readmond Trail,Acton County Park,0000757,000010,0000100001,000019,1,TH,,2717,Unincorporated Los Angeles County,93510,5th District,Syracuse Ave and 2nd St,"118° 11' 58.159"" W","34° 28' 18.501"" N",SA,,Mapped,34.47181072,-118.19950095,21,34.47203244,-118.19890989
7193,Cliffie Stone Trail,West Creek Community Park,0000859,000006,0000060001,000008,1,TAPO,from res to  bike path,1184,Unincorporated Los Angeles County,91354,5th District,Camino Del Arte Dr and Village Circle,"118° 33' 32.507"" W","34° 27' 14.794"" N",SA,IMG_0006584.jpg,Mapped,34.45411433,-118.55904198,19,34.45625268,-118.55868004
7199,Vasquez Loop Trail,,0000874,000039,0000390001,,1,TH,,3506,Unincorporated Los Angeles County,93510,5th District,Athena St and Katrina St,"118° 9' 17.946"" W","34° 30' 35.562"" N",ST,,Mapped,34.50988336,-118.15499722,55,34.50709018,-118.15557131
7200,Cliffie Stone Trail,,0000876,000006,0000060001,,1,TH,,1143,Santa Clarita,91355,5th District,Decoro Dr and Dickason Dr,"118° 33' 40.438"" W","34° 26' 31.164"" N",ST,,Mapped,34.44199502,-118.56124507,19,34.44199014,-118.5612328
7207,Hillside Trail,Placerita Canyon Natural Area,0001093,000017,0000170001,000004,1,TAPO,connects to path in staging area,1522,Unincorporated Los Angeles County,91321,5th District,Placerita Canyon Rd and Running Horse Rd,"118° 28' 9.968"" W","34° 22' 35.988"" N",SA,IMG_0013484.jpg,Mapped,34.37666824,-118.46944769,30,34.37751913,-118.46861925
7208,Hillside Trail,Placerita Canyon Natural Area,0001095,000017,0000170001,000004,1,TH,at rd.,1527,Unincorporated Los Angeles County,91321,5th District,Placerita Canyon Rd and Running Horse Rd,"118° 28' 16.607"" W","34° 22' 36.022"" N",SA,IMG_0013489.jpg,Mapped,34.37667763,-118.47129187,30,34.37751913,-118.46861925
7209,Hasley Canyon Trail,,0001098,000015,0000150001,,1,TH,,1090,Unincorporated Los Angeles County,91355,5th District,Witherspoon Pkwy and Commerce Center Dr,"118° 37' 35.631"" W","34° 26' 52.096"" N",ST,IMG_0006638.jpg,Mapped,34.44780929,-118.62657645,27,34.44780442,-118.62656417
7210,Manzanita Mountain Trail,Placerita Canyon Natural Area,0001099,000023,0000230001,000004,1,TH,Junction with Placerita Creek at Trailhead,1534,Unincorporated Los Angeles County,91321,5th District,Placerita Canyon Rd and Running Horse Rd,"118° 28' 3.298"" W","34° 22' 38.467"" N",SA,IMG_0013388.jpg,Mapped,34.37735685,-118.46759507,39,34.37751913,-118.46861925
7221,Fair Oaks Trail,,0001237,000032,0000320001,,1,TH,,1543,Unincorporated Los Angeles County,91387,5th District,Valley Ranch Rd and Rolling Hills Ave,"118° 25' 42.668"" W","34° 24' 45.677"" N",ST,,Mapped,34.41269295,-118.42853105,23,34.41268807,-118.4285188
7222,Pico Canyon Trail,Pico Canyon Park,0001238,000030,0000300001,000009,1,TH,,1394,Unincorporated Los Angeles County,91381,5th District,Pico Canyon Rd and Stevenson Ranch Pkwy,"118° 35' 1.159"" W","34° 22' 44.319"" N",SA,,Mapped,34.37898238,-118.58366742,44,34.37816062,-118.58466573
7223,North Park Trail,,0001239,000026,0000260001,,1,TH,,1287,Santa Clarita,91354,5th District,San Francisquito Canyon Rd and Farmer John Lateral,"118° 32' 39.056"" W","34° 27' 59.119"" N",ST,,Mapped,34.46642688,-118.5441946,43,34.466422,-118.54418233
7225,Waterfall Trail,Placerita Canyon Natural Area,0001278,000040,0000400001,000010,1,TH,,1811,Unincorporated Los Angeles County,91321,5th District,Placerita Canyon Rd and Placerita Mtwy,"118° 26' 38.920"" W","34° 22' 33.497"" N",SA,,Mapped,34.37597625,-118.4441568,58,34.37641131,-118.44530117
7227,Los Pinetos Trail,,0001424,000021,0000210005,,1,TH,from olive view,1434,Los Angeles,91342,5th District,Olive View Dr and Reagan Rd,"118° 26' 35.730"" W","34° 19' 29.051"" N",ST,IMG_0013856.jpg,Mapped,34.32474126,-118.44327049,34,34.32473639,-118.44325825
7228,Los Pinetos Trail,,0001428,000021,0000210003,,1,TH,from olive view dr near roxford,1429,Los Angeles,91342,3rd District,Olive View Dr and Bucher Ave,"118° 27' 28.741"" W","34° 19' 26.816"" N",ST,IMG_0013797.jpg,Mapped,34.32412033,-118.45799573,34,34.32411545,-118.45798348
7230,La Canada Open Space Trail,,0001522,000019,0000190001,,1,TH,off of Indiana near foothill,1454,La Canada Flintridge,91011,5th District,Foothill Blvd and Indiana Ave,"118° 12' 35.900"" W","34° 12' 35.318"" N",ST,IMG_0013857.jpg,Mapped,34.20981553,-118.20998429,33,34.20981065,-118.20997209
7248,Gould Canyon Trail,,0001728,000014,0000140004,,1,TH,on foothill,1107,Pasadena,91011,5th District,Foothill Blvd and Oak Grove Dr,"118° 10' 41.479"" W","34° 11' 39.814"" N",ST,IMG_00131158.jpg,Mapped,34.19439772,-118.17820092,26,34.19439285,-118.17818873
7249,Eaton Canyon Trail,Eaton Canyon Nature Center,0001831,000011,0000110002,000014,1,TAPO,w/ trail/rd. to horse staging,956,Pasadena,91107,5th District,New York Dr and Creekside Ct,"118° 5' 46.139"" W","34° 10' 34.937"" N",SA,IMG_00131182.jpg,Mapped,34.17637625,-118.09616183,22,34.1752914,-118.09642273
7258,Los Pinetos Trail,Placerita Canyon Natural Area,0002143,000021,0000210001,000011,1,TH,,1898,Unincorporated Los Angeles County,91321,5th District,Placerita Canyon Rd and Placerita Mtwy,"118° 26' 33.299"" W","34° 22' 41.062"" N",SA,,Mapped,34.37807752,-118.44259534,34,34.37805885,-118.44266986
7260,Eaton Canyon Trail,Eaton Canyon Nature Center,0002147,000011,0000110002,000013,1,TAPO,access to parking lot,981,Pasadena,91107,5th District,Altadena Dr and Veranada Ave,"118° 5' 47.208"" W","34° 10' 43.452"" N",SA,,Mapped,34.17874154,-118.09645879,22,34.1771188,-118.09707785
7261,La Canada Open Space Trail,,0002148,000019,0000190001,000018,1,TH,,1926,La Canada Flintridge,91011,5th District,E Big Briar Way and Harter Ln,"118° 11' 45.991"" W","34° 13' 24.742"" N",SA,,Mapped,34.22354443,-118.1961208,33,34.22382407,-118.19615098
7266,Altadena Crest Trail Connector,,0002524,000025,0000250001,000020,1,TH,on loma alta st,1331,Unincorporated Los Angeles County,91001,5th District,W Loma Alta Dr and Dabney Ave,"118° 9' 20.334"" W","34° 12' 7.999"" N",SA,IMG_00131463.jpg,Mapped,34.20222675,-118.15566053,42,34.20247214,-118.15633036
7269,Flint Wash Connector Trail,,0002602,000012,0000120001,,1,TAPO,from alt route,1128,La Canada Flintridge,91011,5th District,Chula Senda Ln and Woodfield Rd,"118° 11' 23.282"" W","34° 11' 42.156"" N",ST,IMG_00131596.jpg,Mapped,34.1950481,-118.18981279,24,34.19504322,-118.1898006
7274,Hastings Debris Basin Trail,,0002683,000016,0000160001,000022,1,TH,from eaton cyn golf course,1001,Unincorporated Los Angeles County,91107,5th District,Sierra Madre Villa Ave and Old House Rd,"118° 4' 48.058"" W","34° 10' 6.202"" N",SA,IMG_00131626.jpg,Mapped,34.1683942,-118.08002824,28,34.16819028,-118.0797143
7282,Altadena Crest Trail,,0002719,000001,0000010006,000021,1,TAPO,,1334,Unincorporated Los Angeles County,91001,5th District,Sunset Ridge Rd and Wildrose Canyon Ct,"118° 9' 28.616"" W","34° 12' 12.985"" N",SA,IMG_00131645.jpg,Mapped,34.20361174,-118.15796103,11,34.20352659,-118.15794077
7283,Horse Lane Trail,,0002720,000002,0000020001,,1,TH,,1191,La Canada Flintridge,91011,5th District,,"118° 10' 57.833"" W","34° 11' 47.504"" N",ST,,Mapped,34.19653387,-118.18274367,29,34.19652899,-118.18273148
7286,Flint Wash Trail,,0002726,000013,0000130001,,1,TH,,1350,La Canada Flintridge,91011,5th District,,"118° 12' 11.756"" W","34° 11' 37.756"" N",ST,IMG_00131540.jpg,Mapped,34.19382591,-118.20327767,25,34.19382104,-118.20326548
7308,Antonovich Connector Trail,,0002970,000044,0000440001,,1,TH,from public street,596,San Dimas,91724,5th District,E Puente St and E Mesarica Rd,"117° 51' 5.229"" W","34° 4' 57.464"" N",ST,IMG_00221907.jpg,Mapped,34.08263367,-117.85146451,10,34.08262879,-117.85145239
7313,Park View Trail,Frank G. Bonelli Regional Park,0003223,000029,0000290002,,1,TH,from middlecrest tr/fire rd,1102,San Dimas,91773,5th District,Via Verde and Camper View Rd,"117° 47' 33.435"" W","34° 4' 43.141"" N",N,IMG_00222094.jpg,Mapped,34.07865513,-117.79263288,46,34.07865025,-117.79262076
7319,Bonelli Trail,Frank G. Bonelli Regional Park,0003287,000004,0000040009,000002,1,TAPO,Access to 0000040008,980,San Dimas,91773,5th District,Puddingstone Dr and Van Dusen Rd,"117° 47' 21.743"" W","34° 5' 44.750"" N",SA,IMG_00222214.jpg,Mapped,34.09576869,-117.78938524,15,34.0955009,-117.78861822
7321,Van Tassel Trail,,0003343,000041,0000410001,000030,1,TH,at road,676,Azusa,91010,1st District,Van Tassel Mtwy and Fish Canyon Rd,"117° 55' 44.592"" W","34° 9' 7.530"" N",ST,IMG_00312656.jpg,Mapped,34.1520966,-117.92906542,57,34.1520966,-117.92906542
7322,Tree Line Trail,Frank G. Bonelli Regional Park,0003344,000037,0000370001,000025,1,TH,,960,San Dimas,91773,5th District,Eucalyptus Park Rd and Via Verde,"117° 48' 24.289"" W","34° 4' 44.191"" N",SA,,Mapped,34.07894685,-117.80675901,54,34.07987318,-117.80757944
7323,Kikos Trail,Frank G. Bonelli Regional Park,0003345,000018,0000180001,,1,TH,,959,San Dimas,91773,5th District,,"117° 47' 55.053"" W","34° 4' 56.763"" N",SA,,Mapped,34.08243896,-117.79863781,31,34.08243408,-117.7986257
7324,Antonovich Trail,,0003352,000003,0000030001,000026,1,TH,Eastern trailhead,897,Unincorporated Los Angeles County,91773,5th District,San Dimas Ave. and Paseo Aldeano,"117° 49' 13.013"" W","34° 5' 27.301"" N",SA,IMG_00221793.jpg,Mapped,34.09092193,-117.82029342,14,34.09112277,-117.82032156
7325,Antonovich Trail,,0003353,000003,0000030001,000027,1,TAPO,,648,Unincorporated Los Angeles County,91773,5th District,Gainsborough Rd and Valley Center Ave,"117° 49' 53.153"" W","34° 5' 31.227"" N",SA,IMG_00221815.jpg,Mapped,34.09201248,-117.83144356,14,34.0918185,-117.83260703
7326,Antonovich Trail,,0003354,000003,0000030001,000027,1,TAPO,,643,Unincorporated Los Angeles County,91773,5th District,Gainsborough Rd and Valley Center Ave,"117° 49' 59.068"" W","34° 5' 30.046"" N",SA,IMG_00221825.jpg,Mapped,34.0916844,-117.83308652,14,34.0918185,-117.83260703
7327,Schabarum San Dimas Connector Trail,,0003387,000008,0000080001,,1,TH,no existing signage,866,Unincorporated Los Angeles County,91724,5th District,Via Verde St. and E Covina Rd.,"117° 50' 13.369"" W","34° 4' 12.463"" N",ST,IMG_00242402.jpg,Mapped,34.07013344,-117.83705909,51,34.07012856,-117.83704697
7328,Bonelli Trail,Frank G. Bonelli Regional Park,0003488,000004,0000040004,000024,1,TAPO,from road,984,San Dimas,91773,5th District,Via Verde and Fisherman Park Rd,"117° 48' 29.599"" W","34° 4' 33.668"" N",SA,IMG_00222294.jpg,Mapped,34.07602376,-117.80823397,15,34.07594398,-117.80587698
7329,Bonelli Trail,,0003748,000004,0000040001,000026,1,TH,starts at MDA staging area,897,Unincorporated Los Angeles County,91773,5th District,San Dimas Ave. and Paseo Aldeano,"117° 49' 13.013"" W","34° 5' 27.301"" N",SA,IMG_00222231.jpg,Mapped,34.09092193,-117.82029342,15,34.09112277,-117.82032156
7334,Santa Susana Pass Trail,,0003923,000035,0000350001,,1,TH,undefined,1359,Unincorporated Los Angeles County,91311,5th District,,"118° 37' 0.361"" W","34° 16' 36.834"" N",ST,,Mapped,34.27690311,-118.6167793,52,34.27689825,-118.61676703
7339,Hasley Canyon Trail,,0003942,000015,0000150002,000005,1,TH,From Eq Center,1197,Unincorporated Los Angeles County,91355,5th District,Industry Dr. and Gibraltar Ln,"118° 38' 12.573"" W","34° 27' 9.341"" N",SA,,Mapped,34.45259958,-118.6368382,27,34.45197896,-118.63590644
7345,Marshall Staging Area Connector A,Marshall Canyon Park,0003952,000051,0000510001,000031,1,TAPO,access to marshall canyon from staging area,1792,Unincorporated Los Angeles County,91750,5th District,,"117° 44' 24.745"" W","34° 9' 2.718"" N",SA,IMG_000446.jpg,Mapped,34.15075977,-117.74021919,40,34.14946808,-117.74137584
7346,Marshall Staging Area Connector B,,0003953,000052,0000520001,000031,1,TAPO,access to marshall canyon and stephens ranch connector from staging area,1798,Unincorporated Los Angeles County,91750,5th District,,"117° 44' 28.391"" W","34° 9' 3.284"" N",SA,,Mapped,34.15091699,-117.74123177,41,34.14946808,-117.74137584
7347,Chaney Trail,,0003955,000005,0000050002,,1,TAPO,Intersection with paved Rd.,1768,Unincorporated Los Angeles County,91001,5th District,,"118° 8' 45.110"" W","34° 12' 35.247"" N",ST,,Mapped,34.2097956,-118.14587607,20,34.20979072,-118.14586389
7351,Vargus Trail,Frank G. Bonelli Regional Park,0003960,000038,0000380001,,1,TAPO,Fire road right,922,San Dimas,91773,5th District,,"117° 48' 52.142"" W","34° 5' 13.974"" N",ST,,Mapped,34.08721992,-117.814496,56,34.08721503,-117.81448388
7359,Canyon Trail,Placerita Canyon State Park,0004074,000031,0000310001,000004,1,TH,from nature center staging area,1536,Unincorporated Los Angeles County,91321,5th District,Placerita Canyon Rd and Running Horse Rd,"118° 28' 2.637"" W","34° 22' 38.591"" N",SA,IMG_00312658.jpg,Mapped,34.37739113,-118.46741145,16,34.37751913,-118.46861925
7362,Antonovich Trail,,0004085,000003,0000030003,000028,1,TAPO,"added in office, MK",604,San Dimas,91773,5th District,Scarborough Road and Liverpool Court,"117° 50' 46.373"" W","34° 5' 13.479"" N",SA,,Mapped,34.08708227,-117.84622697,14,34.08717773,-117.84569062
7363,Schabarum Grand Spur Trail,,0004087,000007,0000070001,,1,TH,"Added in office, MK",731,Unincorporated Los Angeles County,91724,5th District,,"117° 51' 54.934"" W","34° 3' 17.066"" N",ST,,Mapped,34.05474538,-117.86527155,49,34.05474051,-117.86525943
7370,Eaton Canyon Trail,,0004099,000011,0000110001,<Null>,1,TH,"Added in office, MK",947,Pasadena,91107,5th District,Ney York Drive and Eaton Canyon Drive,"118° 5' 44.876"" W","34° 10' 32.739"" N",ST,,Mapped,34.1757656,-118.09581117,22,34.17576072,-118.09579899
7372,Altadena Crest Trail,,0004102,000001,0000010001,,1,TH,"Added in office, MK",1268,Pasadena,91001,5th District,Pine crest Drive and the Mt Wilsona Toll road,"118° 6' 18.919"" W","34° 11' 35.162"" N",ST,,Mapped,34.19310539,-118.10526755,11,34.19310051,-118.10525538
7373,Bonelli Trail,Frank G. Bonelli Regional Park,0004108,000004,0000040005,000024,1,TAPO,from road,984,San Dimas,91773,5th District,Via Verde and Fisherman Park Rd,"117° 48' 29.599"" W","34° 4' 33.668"" N",SA,IMG_00222294.jpg,Mapped,34.07602376,-117.80823397,15,34.07594398,-117.80587698
7374,Bonelli Trail,Frank G. Bonelli Regional Park,0004109,000004,0000040008,000002,1,TAPO,Access to 0000040009,980,San Dimas,91773,5th District,Puddingstone Dr and Van Dusen Rd,"117° 47' 21.743"" W","34° 5' 44.750"" N",SA,IMG_00222214.jpg,Mapped,34.09576869,-117.78938524,15,34.0955009,-117.78861822
7375,Marshall Canyon Trail,Frank G. Bonelli Regional Park,0004110,000024,0000240001,000002,1,TH,,972,San Dimas,91773,5th District,Puddingstone Dr and Van Dusen Rd,"117° 47' 18.780"" W","34° 5' 42.905"" N",SA,,Mapped,34.09525635,-117.78856222,36,34.0955009,-117.78861822
7377,Park View Trail,Frank G. Bonelli Regional Park,0004122,000029,0000290001,,1,TH,accessible from fire road,1093,San Dimas,91773,5th District,Via Verde and Camper View Rd,"117° 47' 27.195"" W","34° 4' 41.652"" N",N,IMG_00222063.jpg,Mapped,34.07824162,-117.79089967,46,34.07823674,-117.79088755
7384,La Canada Open Space Trail,,0004138,000019,0000190002,000018,1,TAPO,,1926,La Canada Flintridge,91011,5th District,E Big Briar Way and Harter Ln,"118° 11' 45.991"" W","34° 13' 24.742"" N",SA,,Mapped,34.22354443,-118.1961208,33,34.22382407,-118.19615098
7390,Schabarum-Skyline Trail,,0003389,000036,0000360015,,1,TH,at end of mda trail,520,Covina,91724,5th District,S Oak Canyon Rd. and E Walnut Creek Rd.,"117° 52' 10.893"" W","34° 4' 32.503"" N",ST,IMG_00222297.jpg,Mapped,34.07570012,-117.86970465,53,34.07569524,-117.86969252
7402,Altadena Crest Access Trail,,0004149,000048,0000840001,,1,TAPO,From Street,1806,Altadena,91001,5th District,3336 Lake Ave,"118° 7' 50.089"" W","34° 12' 14.349"" N",ST,,Mapped,34.20399079,-118.13059242,61,34.20398591,-118.13058024
7406,Santa Anita Wash Trail,,0004151,000034,0000340000,,1,TH,,872,Arcadia,91006,5th District,Canyon Rd and Highland Oaks Dr,"118° 1' 8.290"" W","34° 10' 37.123"" N",ST,,Mapped,34.17698342,-118.01898151,47,34.17697854,-118.01896936
7407,Antonovich Oak Loop Trail,,0004152,000042,0000420001,000028,1,TAPO,"added in office, RM",604,San Dimas,91773,5th District,Scarborough Road and Liverpool Court,"117° 50' 46.373"" W","34° 5' 13.479"" N",SA,,Mapped,34.08708227,-117.84622697,12,34.08717773,-117.84569062
7408,Antonovich South Spur Trail,,0004152,000043,0000430001,,1,TAPO,from access rd. w/ st. access,615,San Dimas,91773,5th District,Edinburgh Rd and Gainsborough Rd,"117° 50' 30.479"" W","34° 5' 15.875"" N",ST,IMG_00221865.jpg,Mapped,34.08774788,-117.84181196,13,34.08717773,-117.84569062
7409,Miller Lateral Trail,,0004153,000047,0000470001,,1,TAPO,marshall Canyon to claremont loop,1855,Unincorporated Los Angeles County,91750,5th District,Stephens Ranch Rd and E Stephens Ranch Rd,"117° 44' 22.859"" W","34° 9' 7.361"" N",SA,,Mapped,34.15204957,-117.73969529,37,34.15204468,-117.73968318
7410,Marshall-Miller Connector Trail,,0004154,000046,0000460001,,1,TAPO,marshall Canyon to claremont loop,1855,Unincorporated Los Angeles County,91750,5th District,Stephens Ranch Rd and E Stephens Ranch Rd,"117° 44' 22.859"" W","34° 9' 7.361"" N",SA,,Mapped,34.15204957,-117.73969529,38,34.15204468,-117.73968318
7411,Cobalt Canyon Trail,,0004152,000045,0000450001,,1,TAPO,marshall Canyon to claremont loop,1855,Unincorporated Los Angeles County,91750,5th District,Stephens Ranch Rd and E Stephens Ranch Rd,"117° 44' 22.859"" W","34° 9' 7.361"" N",SA,,Mapped,34.15204957,-117.73969529,17,34.08717773,-117.84569062
7414,San Gabriel River Trail,Wilderness Park,0400035,000053,0000530013,040019,1,TAPO,"from wilderness park. formal to property line, then UCT.",123,Downey,90241,4th District,10999 Little Lake Rd,"118° 6' 14.168"" W","33° 56' 3.982"" N",SA,IMG_00071309.jpg,Mapped,33.9344443,-118.10394762,265,33.93535689,-118.10067171
7434,San Gabriel River Trail,Liberty Park,0400135,000053,0000530021,040020,1,TAPO,from liberty park,53,Cerritos,90703,4th District,19211 Studebaker Rd,"118° 6' 3.705"" W","33° 51' 11.287"" N",SA,IMG_00071419.jpg,Mapped,33.85314003,-118.10104138,265,33.85534106,-118.10019747
7442,San Gabriel River Trail,El Dorado Regional Park,0400200,000053,0000530025,040021,1,TAPO,vehilcle and oedestrian access from park,25,Long Beach,90808,4th District,7550 East Spring St,"118° 5' 25.665"" W","33° 48' 39.262"" N",SA,IMG_00071484.jpg,Mapped,33.81091102,-118.09047458,265,33.81111184,-118.08792846
